FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
368,16407948.107041,16348.900627984,416,1321,0423,423
369,16422051.409621,16356.885066654,647,1327,0269,269
370,16387061.875758,16337.072713121,164,178,1516,1516
371,16422048.542059,16356.883514064,648,1282,0208,208
372,16407931.408088,16348.893142463,417,1276,0424,424
373,16377752.126423,16331.796501976,47,411,2195,2195
374,16387065.908905,16337.075405511,165,143,1517,1517
375,16422071.815472,16356.894758305,649,1236,0155,155
376,16386889.469257,16336.974931182,166,113,1518,1518
377,16407937.391147,16348.896506553,418,1230,0425,425
378,16377768.05682,16331.805406996,48,362,2196,2196
379,16377737.257061,16331.788757091,49,313,2197,2197
380,16422086.048903,16356.900534663,650,1190,0110,110
381,16386909.281592,16336.983936776,167,84,1519,1519
382,16407918.695976,16348.887113145,419,1184,0426,426
383,16422089.597391,16356.902028448,651,1136,0073,73
384,16377762.899871,16331.80268028,50,265,2198,2198
385,16407912.850545,16348.885487661,420,1132,0427,427
386,16386917.30439,16336.987435201,168,57,1520,1520
387,16389189.095513,16338.270927569,169,1394,1341,1341
388,16377754.48698,16331.797282144,51,217,2199,2199
389,16422091.85913,16356.903026852,652,1084,0074,74
390,16407904.549767,16348.881474869,421,1080,0428,428
391,16377757.601165,16331.800462207,52,174,2200,2200
392,16389180.932495,16338.266537167,170,1356,1342,1342
393,16407905.86604,16348.883121088,422,1027,0429,429
394,16422094.757123,16356.903427603,653,1031,0075,75
395,16389182.162211,16338.26856576,171,1313,1343,1343
396,16407896.096097,16348.878121937,423,971,0430,430
397,16422107.891467,16356.909488734,654,975,0076,76
398,16377756.48024,16331.799063765,53,139,2201,2201
399,16389167.302083,16338.260263814,172,1268,1344,1344
400,16422120.851408,16356.915366792,655,917,0077,77
401,16377591.688091,16331.705474202,54,109,2202,2202
402,16407889.186303,16348.874682332,424,913,0431,431
403,16412663.006245,16351.579175358,503,633,0286,286
404,16422166.523756,16356.940256048,656,859,0078,78
405,16408002.048988,16348.938752548,425,855,0432,432
406,16389171.318316,16338.263460876,173,1222,1345,1345
407,16377592.44898,16331.705282842,55,80,2203,2203
408,16389160.422959,16338.259087262,174,1172,1346,1346
409,16422153.320627,16356.935181657,657,802,0079,79
410,16408008.987889,16348.942614188,426,798,0433,433
411,16377616.438333,16331.716603939,56,53,2204,2204
412,16422148.20198,16356.933714372,658,745,0080,80
413,16407999.566059,16348.937412268,427,741,0434,434
414,16389140.174227,16338.248433944,175,1120,1347,1347
415,16377620.607139,16331.718773532,57,31,2205,2205
416,16422142.871762,16356.929854384,659,690,0081,81
417,16379807.602059,16332.954885299,58,1309,1995,1995
418,16408010.042499,16348.943663383,428,686,0435,435
419,16389146.127007,16338.252465789,176,1068,1348,1348
420,16422140.092979,16356.929552778,660,635,0082,82
421,16379803.804749,16332.95371269,59,1264,1996,1996
422,16389140.679083,16338.2500062,177,1016,1349,1349
423,16408002.300213,16348.939571804,429,631,0436,436
424,16422128.336421,16356.923784492,661,583,0123,123
425,16407994.053617,16348.934841588,430,577,0437,437
426,16389121.83328,16338.240184652,178,961,1350,1350
427,16379786.663837,16332.944912059,60,1218,1997,1997
428,16422126.514225,16356.923527185,662,530,0172,172
429,16389123.81812,16338.24294392,179,905,1351,1351
430,16379791.204326,16332.948639292,61,1166,1998,1998
431,16408008.393584,16348.942786529,431,524,0438,438
432,16424397.787951,16358.225603116,663,1620,1789,1789
433,16389368.031285,16338.382374964,180,847,1352,1352
434,16379775.927625,16332.941113872,62,1114,1999,1999
435,16408000.691665,16348.938486517,432,474,0439,439
436,16422128.037747,16356.925117586,664,480,0229,229
437,16407997.691836,16348.936478071,433,424,0440,440
438,16389373.364881,16338.38438883,181,790,1353,1353
439,16379756.573094,16332.932067636,63,1061,2000,2000
440,16424403.449559,16358.228615498,665,1615,1624,1624
441,16379761.864448,16332.935655345,64,1009,2001,2001
442,16389367.575935,16338.380986093,182,733,1354,1354
443,16389376.792479,16338.386263062,183,678,1355,1355
444,16408012.938379,16348.944358325,434,375,0441,441
445,16422104.731984,16356.912910935,666,430,0294,294
446,16379761.563861,16332.935724607,65,954,2002,2002
447,16408012.633723,16348.943703127,435,326,0442,442
448,16389379.404391,16338.387097384,184,623,1356,1356
449,16424408.74437,16358.230386827,667,1608,1467,1467
450,16379746.528959,16332.928587085,66,897,2003,2003
451,16410440.08215,16350.309040912,436,1592,1324,1324
452,16389378.658689,16338.386856251,185,569,1357,1357
453,16422116.824562,16356.920592223,668,381,0367,367
454,16380058.470168,16333.105394895,67,841,2004,2004
455,16422105.776174,16356.914812876,669,332,0448,448
456,16408008.917183,16348.942325603,437,278,0531,531
457,16389378.574696,16338.386658259,186,516,1358,1358
458,16389385.369955,16338.390259084,187,466,1359,1359
459,16410436.703395,16350.305815653,438,1579,1183,1183
460,16380072.029013,16333.113558517,68,784,2005,2005
461,16424423.427842,16358.237710521,670,1598,1318,1318
462,16412666.011616,16351.58073716,504,579,0287,287
463,16408016.205357,16348.945808867,439,230,0628,628
464,16389372.432973,16338.383516277,188,416,1360,1360
465,16380062.609272,16333.108358799,69,729,2006,2006
466,16422091.692291,16356.908498768,671,284,0537,537
467,16410451.903891,16350.313284954,440,1564,1050,1050
468,16380070.323335,16333.112511811,70,674,2007,2007
469,16389360.160678,16338.377400775,189,367,1361,1361
470,16389389.710561,16338.392693863,190,318,1362,1362
471,16380057.977083,16333.10549698,71,619,2008,2008
