X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-5.7358461360768,54.646422166308,A_CLASS,20050702,A 2,44
-5.80722155396829,54.4396187296064,A_CLASS,20031024,A 7,45
-5.53723044814352,54.4190010772361,A_CLASS,20031024,A 20,46
-5.54717412137141,54.3406085055371,A_CLASS,20060306,A 2,47
-5.58467968452496,54.3576705111129,A_CLASS,20031024,A 25,48
-5.83681346167046,54.3289494638472,A_CLASS,20060306,A 24,49
-5.76698636946824,54.3037707755816,A_CLASS,20060306,A 25,50
-5.6757413612007,54.3530459271015,A_CLASS,20060306,A 25,51
-5.74465751789793,54.3793370806144,A_CLASS,20031024,A 7,52
-5.67612182604898,54.3876945153856,A_CLASS,20031024,A 22,53
-5.84019708822353,54.4572475531942,A_CLASS,20031024,A 21,54
-5.63000978889322,54.2604018127002,A_CLASS,20060306,A 2,55
-5.69850164319746,54.2522818258491,A_CLASS,20060306,A 2,56
-5.79834035766419,54.2757195414311,A_CLASS,20060306,A 2,57
-5.84628070904935,54.2867978488226,A_CLASS,20060306,A 25,58
-6.10595084300146,55.0186624665423,A_CLASS,20050202,A 43,59
-5.97830087833262,55.0139870333239,A_CLASS,20050202,A 2,60
-6.09489004413038,55.1418986824821,A_CLASS,20050124,A 2,61
-6.00518304905514,55.0576611136693,A_CLASS,20050202,A 2,62
-5.89436702706242,54.9313351988851,A_CLASS,20050202,A 2,63
-6.01670064010115,54.9446296768919,A_CLASS,20050202,A 42,64
-5.89770690735783,54.8144112486235,A_CLASS,20050202,A 8,65
-5.98511720791786,54.8257479460987,A_CLASS,20050202,A 36,66
-6.08160471063013,54.7072591565273,A_CLASS,20031015,A 57,67
-6.06955955182455,54.7036373843925,A_CLASS,20031015,A 6,68
-6.1320612505238,54.8291560190695,A_CLASS,20050202,A 36,69
-5.96425776597633,54.6867992611975,A_CLASS,20031015,A 8,70
-5.97119605168685,54.6770255852436,A_CLASS,20031015,A 6,71
-6.01148264767287,54.7395442191683,A_CLASS,20031015,A 57,72
-5.96566007715067,54.7295468844477,A_CLASS,20031015,A 8,73
-5.8573516326959,54.6959960986292,A_CLASS,20031015,A 2,74
-6.11310586449987,54.6339045939981,A_CLASS,20031029,A 52,75
-5.87122032462973,54.5801821874778,A_CLASS,20031029,A 55,76
-5.91086765051624,54.5646612346111,A_CLASS,20031029,A 24,77
-5.97528239979107,54.6021484968164,A_CLASS,20031029,A 55,78
-5.98294512882345,54.58296215562,A_CLASS,20031029,A 501,79
-5.95533465521954,54.5748878217726,A_CLASS,20031029,A 1,80
-5.94114880316812,54.5946567540399,A_CLASS,20031029,A 12,81
-5.95341543145981,54.6319532915529,A_CLASS,20031029,A 55,82
-5.93808996785116,54.6301671500385,A_CLASS,20031029,A 6,83
-5.92419196904329,54.634821667266,A_CLASS,20031029,A 2,84
-5.85095503827721,54.6273196038426,A_CLASS,20031029,A 2,85
-5.97586894490692,54.6190897790784,A_CLASS,20031029,A 52,86
-6.06235627490754,54.5214843013837,A_CLASS,20031029,A 30,87
-5.89578953359797,54.5369541844049,A_CLASS,20031029,A 24,88
-6.01959453490791,54.5484218856869,A_CLASS,20031029,A 512,89
-6.02857199906701,54.5326984648756,A_CLASS,20031029,A 1,90
-5.88417676197371,54.5177664553802,A_CLASS,20031029,A 7,91
-6.13934219833317,54.4993884044182,A_CLASS,20060309,A 3,92
-6.13036097214029,54.5431188078822,A_CLASS,20031029,A 30,93
-6.09397634177438,54.5492386441285,A_CLASS,20031029,A 501,94
-5.90550831301501,54.4710487917065,A_CLASS,20060309,A 24,95
-6.09136320312854,54.5291635526736,A_CLASS,20031029,A 30,96
-5.87241641841022,54.4341700209062,A_CLASS,20060309,A 21,97
-5.86598327603015,54.3740608538054,A_CLASS,20060309,A 24,98
-5.94932375787752,54.4479708568156,A_CLASS,20060309,A 49,99
-6.10017425718236,54.4592955412568,A_CLASS,20060309,A 1,100
-6.08848865729568,54.2313360025941,A_CLASS,20060306,A 25,101
-5.91024490319797,54.2333550938901,A_CLASS,20060306,A 50,102
-5.86995134110774,54.2299800858805,A_CLASS,20060306,A 2,103
-5.87766908703006,54.1609434256961,A_CLASS,20060306,A 2,104
-5.90467012548373,54.2698502297342,A_CLASS,20060306,A 25,105
-6.01180049236562,54.2622660417496,A_CLASS,20060306,A 50,106
-6.07583907174164,54.2855317599527,A_CLASS,20060306,A 50,107
-6.07423908698449,54.0728675805866,A_CLASS,20060306,A 2,108
-5.95935918272557,54.0757055490842,A_CLASS,20060306,A 2,109
-6.29560117135798,55.2005943273606,A_CLASS,20050124,A 2,110
-6.28558328613948,55.1854044894172,A_CLASS,20050124,A 44,111
-6.36060487198329,55.036077128571,A_CLASS,20050131,A 44,112
-6.30764171481472,54.8858991372693,A_CLASS,20060309,A 26,113
-6.34551744701877,54.8517435004481,A_CLASS,20060309,A 42,114
-6.36559962186735,55.0104029403596,A_CLASS,20050131,A 26,115
-6.33561642881947,54.94886935827,A_CLASS,20050131,A 26,116
-6.24434604855518,54.9490360467257,A_CLASS,20050131,A 43,117
-6.26534587355752,54.8445065613387,A_CLASS,20060309,A 26,118
-6.1589859187618,54.9013292913097,A_CLASS,20060309,A 42,119
-6.27674127687665,54.7370366080581,A_CLASS,20060309,A 6,120
-6.15139919509236,54.6823043200824,A_CLASS,20060309,A 57,121
-6.1505365890294,54.7012677963044,A_CLASS,20060309,A 6,122
-6.21383395173278,54.7133008606337,A_CLASS,20060309,A 522,123
-6.21272872660742,54.7070784420232,A_CLASS,20060309,A 6,124
